Name,Location,Score,reviews,salaries,interviews
b'RoundPoint Financial Group',"b'Glen Arbor, MI'",b'2.9',b'13',b'7',b'--'
b'Cherry Republic',"b'Paramus, NJ'",b'3.1',b'13',b'8',b'1'
b'National Republican Senatorial Committee',"b'Washington, DC'",b'4.3',b'13',b'7',b'1'
b'Victoria Independent School District',"b'Victoria, TX'",b'3.0',b'13',b'20',b'2'
b'Pro4ia',"b'New York, NY'",b'3.1',b'13',b'8',b'2'
"b'Contec, Inc.'","b'Spartanburg, SC'",b'3.2',b'13',b'11',b'4'
b'Eagle County Schools',"b'Eagle, CO'",b'3.6',b'13',b'46',b'1'
"b'Gartner Studios, Inc'","b'Stillwater, MN'",b'2.1',b'13',b'9',b'4'
b'Leadership Connect',"b'New York, NY'",b'3.2',b'13',b'17',b'--'
b'Tierra Antigua Realty',"b'Tucson, AZ'",b'4.4',b'13',b'5',b'1'
b'Portland Timbers',"b'Portland, OR'",b'4.0',b'13',b'4',b'3'
b'Resource Management Concepts',"b'Lexington Park, MD'",b'4.3',b'13',b'40',b'2'
b'Falcon Farms',"b'Miami, FL'",b'3.1',b'13',b'24',b'3'
b'The Critical Path Institute',"b'Tucson, AZ'",b'3.5',b'13',b'11',b'1'
b'Tetrad Digital Integrity',"b'Washington, DC'",b'4.7',b'13',b'13',b'5'
b'LA Weekly',"b'Culver City, CA'",b'3.4',b'13',b'10',b'1'
b'NODUS Technologies',"b'Anaheim, CA'",b'3.1',b'13',b'17',b'8'
b'Aerobiology Laboratory Associates',"b'Sterling, VA'",b'3.3',b'13',b'17',b'2'
b'Bad Boys Bail Bonds',"b'San Jose, CA'",b'3.5',b'13',b'3',b'--'
b'Duo Consulting',"b'Chicago, IL'",b'2.8',b'13',b'10',b'4'
b'Velos',"b'Fremont, CA'",b'2.7',b'13',b'53',b'4'
b'Collection XIIX',"b'New York, NY'",b'3.1',b'13',b'19',b'1'
b'Beckwith Electric',"b'Largo, FL'",b'3.6',b'13',b'18',b'1'
b'New York State Technology Enterprise Corporation',"b'Rome, NY'",b'3.8',b'13',b'28',b'3'
b'Drexel Chemical',"b'Memphis, TN'",b'2.0',b'13',b'11',b'2'
b'Active Motif',"b'Carlsbad, CA'",b'3.8',b'13',b'16',b'1'
b'Continental Utility Solutions',"b'Jonesboro, AR'",b'4.1',b'13',b'16',b'--'
b'Ballinger',"b'Philadelphia, PA'",b'3.8',b'13',b'33',b'8'
b'American National Standards Institute',"b'Washington, DC'",b'4.4',b'13',b'21',b'2'
b'Codman Square Health Center',"b'Boston, MA'",b'2.4',b'13',b'14',b'--'
b'Dickinson ISD',"b'Dickinson, TX'",b'3.9',b'13',b'28',b'2'
b'Montana State Fund',"b'Helena, MT'",b'2.7',b'13',b'14',b'1'
b'TCA',"b'Irvine, CA'",b'3.9',b'13',b'11',b'--'
b'Advisen',"b'New York, NY'",b'3.4',b'13',b'36',b'3'
b'WestStar',"b'Woodbridge, VA'",b'3.6',b'13',b'8',b'3'
b'Smith',"b'Plano, TX'",b'2.8',b'13',b'5',b'3'
b'Target',"b'New York, NY'",b'3.4',b'13',b'42',b'5'
b'San',"b'Fresno, CA'",b'3.2',b'13',b'22',b'6'
b'New',"b'Houston, TX'",b'3.3',b'13',b'24',b'1'
b'Monroe',"b'Forsyth, GA'",b'3.1',b'13',b'6',b'1'
b'Topeka',"b'Atlanta, GA'",b'3.7',b'13',b'25',b'1'
b'Plexus Scientific',"b'Alexandria, VA'",b'4.1',b'13',b'10',b'1'
b'clinivation',"b'Cambridge, MA'",b'4.5',b'13',b'12',b'2'
b'Inland Imaging Business Associates',"b'Spokane, WA'",b'3.3',b'13',b'9',b'4'
b'Elder Research',"b'Charlottesville, VA'",b'4.2',b'13',b'12',b'2'
b'J-U-B Engineers',"b'Boise, ID'",b'4.0',b'13',b'18',b'1'
b'Springfield Remanufacturing',"b'Springfield, MO'",b'2.4',b'13',b'12',b'1'
b'High Moon Studios',"b'Carlsbad, CA'",b'3.9',b'13',b'43',b'7'
b'The Great Falls Clinic',"b'Great Falls, MT'",b'3.2',b'13',b'5',b'4'
b'Cargas Systems',"b'Lancaster, PA'",b'4.9',b'13',b'11',b'3'
b'Soltesz',"b'Rockville, MD'",b'2.8',b'13',b'15',b'1'
b'Founders',"b'Des Plaines, IL'",b'2.3',b'13',b'24',b'2'
b'1st',"b'Chicago, IL'",b'4.4',b'13',b'10',b'1'
b'Jinny',"b'Atlanta, GA'",b'2.7',b'13',b'42',b'2'
b'Outbound',"b'New Hudson, MI'",b'4.6',b'13',b'12',b'2'
b'MIG',"b'White Plains, NY'",b'2.6',b'13',b'16',b'4'
b'Prince',"b'Carol Stream, IL'",b'3.5',b'13',b'6',b'--'
b'Picaboo',"b'Hanover, NH'",b'4.1',b'13',b'8',b'--'
b'Veracity',"b'Washington, DC'",b'4.3',b'13',b'9',b'1'
b'Motive',"b'San Diego, CA'",b'4.3',b'13',b'13',b'1'
b'Total',"b'Elgin, IL'",b'2.7',b'13',b'11',b'3'
b'SanAir Technologies Laboratory',"b'Powhatan, VA'",b'3.9',b'13',b'10',b'1'
b'Granville Homes',"b'Fresno, CA'",b'3.0',b'13',b'10',b'--'
b'IO Practiceware',"b'New York, NY'",b'2.3',b'13',b'10',b'1'
b'Hord Coplan Macht (HCM)',"b'Baltimore, MD'",b'3.9',b'13',b'41',b'2'
b'rfxcel',"b'San Ramon, CA'",b'3.9',b'13',b'4',b'--'
b'PENTA Engineering Corp',"b'Saint Louis, MO'",b'4.4',b'13',b'15',b'2'
b'PIXIA',"b'Reston, VA'",b'2.7',b'13',b'6',b'1'
b'Chester Engineers',"b'Coraopolis, PA'",b'2.4',b'13',b'31',b'1'
b'Product Quest',"b'Daytona Beach, FL'",b'2.3',b'13',b'8',b'1'
b'Questcare Management Svc',"b'Dallas, TX'",b'3.4',b'13',b'19',b'--'
b'Chambers Group',"b'Santa Ana, CA'",b'3.8',b'13',b'7',b'3'
b'Kognito Solutions',"b'New York, NY'",b'3.0',b'13',b'21',b'6'
b'Michael Maltzan Architecture',"b'Los Angeles, CA'",b'3.2',b'13',b'12',b'2'
b'Glacier Fish',"b'Seattle, WA'",b'4.1',b'13',b'7',b'4'
b'Schwob Building',"b'Dallas, TX'",b'3.8',b'13',b'12',b'2'
b'Michael Wall Engineering',"b'San Diego, CA'",b'3.4',b'13',b'7',b'1'
b'Armellini Express Lines',"b'Palm City, FL'",b'3.2',b'13',b'16',b'3'
b'Leadership Public Schools',"b'Oakland, CA'",b'3.9',b'13',b'24',b'1'
b'Triple C Designs',"b'New York, NY'",b'3.1',b'13',b'6',b'4'
b'Michigan Athletic Club',"b'Grand Rapids, MI'",b'3.7',b'13',b'16',b'3'
b'Boston Area Rape Crisis Center',"b'Cambridge, MA'",b'4.6',b'13',b'5',b'--'
b'Preferred Materials',"b'Lutz, FL'",b'4.1',b'13',b'17',b'2'
b'Intelliquick Delivery',"b'Phoenix, AZ'",b'2.6',b'13',b'9',b'1'
b'Automann',"b'Somerset, NJ'",b'2.9',b'13',b'15',b'1'
b'CUES',"b'Orlando, FL'",b'2.7',b'13',b'13',b'3'
b'Elmhurst Dairy',"b'Jamaica, NY'",b'3.8',b'13',b'14',b'2'
b'Streets of New York',"b'Phoenix, AZ'",b'3.2',b'13',b'11',b'1'
b'Connection Technology Center',"b'Victor, NY'",b'2.0',b'13',b'7',b'3'
b'Electrical Consultants',"b'Billings, MT'",b'3.1',b'13',b'27',b'--'
b'Heller Consulting',"b'Oakland, CA'",b'4.3',b'13',b'24',b'1'
b'Jeff',"b'New York, NY'",b'3.4',b'13',b'28',b'1'
b'MegaForce',"b'Berkeley, CA'",b'2.0',b'13',b'11',b'3'
b'Community',"b'Leawood, KS'",b'2.6',b'13',b'15',b'3'
b'Amensys',"b'Cape Girardeau, MO'",b'3.5',b'13',b'15',b'1'
